name,sub-region
United States Minor Outlying Islands,Micronesia
American Samoa,Polynesia
Cook Islands,Polynesia
French Polynesia,Polynesia
Niue,Polynesia
Pitcairn [Pitcairn Islands],Polynesia
Samoa,Polynesia
Tokelau,Polynesia
Tonga,Polynesia
Tuvalu,Polynesia
Wallis and Futuna Islands,Polynesia
USA,North America
Taiwan,Eastern Asia
Laos,South-eastern Asia
Yugoslavia,Southern Europe
Italia,Southern Europe
United Kingdom of Great Britain and Northern Ireland,Northern Europe
West Bank,Western Asia
Gaza Strip,Western Asia
